"provincia_nombre_largo","jurisdiccion_tipo","provincia_nombre","autoridad_fuente","provincia_id","provincia_abreviatura","iso_3166_2","region_nombre"
"Provincia de Misiones","Provincia","Misiones","IGN","54","MI","AR-N","Norte Grande Argentino"
"Provincia de San Luis","Provincia","San Luis","IGN","74","SL","AR-D","Nuevo Cuyo"
"Provincia de San Juan","Provincia","San Juan","IGN","70","SJ","AR-J","Nuevo Cuyo"
"Provincia de Entre Ríos","Provincia","Entre Ríos","IGN","30","ER","AR-E","Centro"
"Provincia de Santa Cruz","Provincia","Santa Cruz","IGN","78","SC","AR-Z","Patagonia"
"Provincia de Río Negro","Provincia","Río Negro","IGN","62","RN","AR-R","Patagonia"
"Provincia del Chubut","Provincia","Chubut","IGN","26","CT","AR-U","Patagonia"
"Provincia de Córdoba","Provincia","Córdoba","IGN","14","CB","AR-X","Centro"
"Provincia de Mendoza","Provincia","Mendoza","IGN","50","MZ","AR-M","Nuevo Cuyo"
"Provincia de La Rioja","Provincia","La Rioja","IGN","46","LR","AR-F","Nuevo Cuyo"
"Provincia de Catamarca","Provincia","Catamarca","IGN","10","CA","AR-K","Norte Grande Argentino"
"Provincia de La Pampa","Provincia","La Pampa","IGN","42","LP","AR-L","Patagonia"
"Provincia de Santiago del Estero","Provincia","Santiago del Estero","IGN","86","SE","AR-G","Norte Grande Argentino"
"Provincia de Corrientes","Provincia","Corrientes","IGN","18","CR","AR-W","Norte Grande Argentino"
"Provincia de Santa Fe","Provincia","Santa Fe","IGN","82","SF","AR-S","Centro"
"Provincia de Tucumán","Provincia","Tucumán","IGN","90","TU","AR-T","Norte Grande Argentino"
"Provincia del Neuquén","Provincia","Neuquén","IGN","58","NQ","AR-Q","Patagonia"
"Provincia de Salta","Provincia","Salta","IGN","66","SA","AR-A","Norte Grande Argentino"
"Provincia del Chaco","Provincia","Chaco","IGN","22","CH","AR-H","Norte Grande Argentino"
"Provincia de Formosa","Provincia","Formosa","IGN","34","FO","AR-P","Norte Grande Argentino"
"Provincia de Jujuy","Provincia","Jujuy","IGN","38","JY","AR-Y","Norte Grande Argentino"
"Ciudad Autónoma de Buenos Aires","Ciudad Autónoma","Ciudad Autónoma de Buenos Aires","IGN","02","CABA","AR-C","Buenos Aires"
"Provincia de Buenos Aires","Provincia","Buenos Aires","IGN","06","BA","AR-B","Buenos Aires"
"Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur","Provincia","Tierra del Fuego, Antártida e Islas del Atlántico Sur","IGN","94","TF","AR-V","Patagonia"
